1	8	N-	----ASM-	9474	Ἰωσαφάτ	ἰωσαφατ	ιωσαφατ	Ἰωσαφάτ			,
1	8	N-	----NSM-	9346	Ἰωσαφὰτ	ἰωσαφατ	ιωσαφατ	Ἰωσαφάτ			
1	8	C-	--------	4	δὲ	δε	δε	δέ			
1	8	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	8	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	8	N-	----ASM-	9474	Ἰωράμ	ἰωραμ	ιωραμ	Ἰωράμ			,
1	8	N-	----NSM-	9346	Ἰωρὰμ	ἰωραμ	ιωραμ	Ἰωράμ			
1	8	C-	--------	4	δὲ	δε	δε	δέ			
1	8	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	8	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	8	N-	----ASM-	9474	Ὀζίαν	ὀζιαν	οζιαν	Ὀζίας			,
1	9	N-	----NSM-	9346	Ὀζίας	ὀζιας	οζιας	Ὀζίας			
1	9	C-	--------	4	δὲ	δε	δε	δέ			
1	9	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	9	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	9	N-	----ASM-	9474	Ἰωαθάμ	ἰωαθαμ	ιωαθαμ	Ἰωαθάμ			,
1	9	N-	----NSM-	9346	Ἰωαθὰμ	ἰωαθαμ	ιωαθαμ	Ἰωαθάμ			
1	9	C-	--------	4	δὲ	δε	δε	δέ			
1	9	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	9	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	9	N-	----ASM-	9474	Ἀχάζ	ἀχαζ	αχαζ	Ἀχάζ			,
1	9	N-	----NSM-	9346	Ἀχὰζ	ἀχαζ	αχαζ	Ἀχάζ			
1	9	C-	--------	4	δὲ	δε	δε	δέ			
1	9	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	9	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	9	N-	----ASM-	9474	Ἑζεκίαν	ἑζεκιαν	εζεκιαν	Ἑζεκίας			,
1	10	N-	----NSM-	9346	Ἑζεκίας	ἑζεκιας	εζεκιας	Ἑζεκίας			
1	10	C-	--------	4	δὲ	δε	δε	δέ			
1	10	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	10	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	10	N-	----ASM-	9474	Μανασσῆ	μανασση	μανασση	Μανασσῆς			,
1	10	N-	----NSM-	9346	Μανασσῆς	μανασσης	μανασσης	Μανασσῆς			
1	10	C-	--------	4	δὲ	δε	δε	δέ			
1	10	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	10	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	10	N-	----ASM-	9474	Ἀμώς	ἀμως	αμως	Ἀμώς			,
1	10	N-	----NSM-	9346	Ἀμὼς	ἀμως	αμως	Ἀμώς			
1	10	C-	--------	4	δὲ	δε	δε	δέ			
1	10	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	10	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	10	N-	----ASM-	9474	Ἰωσίαν	ἰωσιαν	ιωσιαν	Ἰωσίας			,
1	11	N-	----NSM-	9346	Ἰωσίας	ἰωσιας	ιωσιας	Ἰωσίας			
1	11	C-	--------	4	δὲ	δε	δε	δέ			
1	11	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	11	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	11	N-	----ASM-	9474	Ἰεχονίαν	ἰεχονιαν	ιεχονιαν	Ἰεχονίας			
1	11	C-	--------	4	καὶ	και	και	καί			
1	11	RA	----APM-	10	τοὺς	τους	τους	ὁ			
1	11	N-	----APM-	9986	ἀδελφοὺς	ἀδελφους	αδελφους	ἀδελφός			
